PlanCode	ConversionPlanCode
25P17M	ULA20M
25P17M	ULL20M
25P17M	W19MTC
15T11 	ULA20 
15T11 	ULL20 
15T11 	W19GNC
20T17 	ULA20 
20T17 	ULL20 
20T17 	W19GNC
30T15 	ULA20 
30T15 	ULL20 
30T15 	W19GNC
30T3M 	ULA20M
30T3M 	ULL20M
30T3M 	W19MTC
25P11H	ULA20 
25P11H	ULL20 
25P11H	W19GNC
25T11 	ULA20 
25T11 	ULL20 
25T11 	W19GNC
15P15M	ULA20M
15P15M	ULL20M
15P15M	W19MTC
15P3M 	ULA20M
15P3M 	ULL20M
15P3M 	W19MTC
20P1M 	ULA20M
20P1M 	ULL20M
20P1M 	W19MTC
10T1MH	ULA20M
10T1MH	ULL20M
10T1MH	W19MTC
15T3M 	ULA20M
15T3M 	ULL20M
15T3M 	W19MTC
25P18M	ULA20M
25P18M	ULL20M
25P18M	W19MTC
15T17M	ULA20M
15T17M	ULL20M
15T17M	W19MTC
20P17M	ULA20M
20P17M	ULL20M
20P17M	W19MTC
25P17 	ULA20 
25P17 	ULL20 
25P17 	W19GNC
10T3M 	ULA20M
10T3M 	ULL20M
10T3M 	W19MTC
30P3M 	ULA20M
30P3M 	ULL20M
30P3M 	W19MTC
30T11H	ULA20 
30T11H	ULL20 
30T11H	W19GNC
20T15 	ULA20 
20T15 	ULL20 
20T15 	W19GNC
25T1M 	ULA20M
25T1M 	ULL20M
25T1M 	W19MTC
15T13 	ULA20 
15T13 	ULL20 
15T13 	W19GNC
30P18 	ULA20 
30P18 	ULL20 
30P18 	W19GNC
30P17 	ULA20 
30P17 	ULL20 
30P17 	W19GNC
10T18M	ULA20M
10T18M	ULL20M
10T18M	W19MTC
20P1MH	ULA20M
20P1MH	ULL20M
20P1MH	W19MTC
10T17M	ULA20M
10T17M	ULL20M
10T17M	W19MTC
25P13H	ULA20 
25P13H	ULL20 
25P13H	W19GNC
25T17 	ULA20 
25T17 	ULL20 
25T17 	W19GNC
15T17 	ULA20 
15T17 	ULL20 
15T17 	W19GNC
25T15 	ULA20 
25T15 	ULL20 
25T15 	W19GNC
20T1MH	ULA20M
20T1MH	ULL20M
20T1MH	W19MTC
10T17 	ULA20 
10T17 	ULL20 
10T17 	W19GNC
20T18 	ULA20 
20T18 	ULL20 
20T18 	W19GNC
20T3M 	ULA20M
20T3M 	ULL20M
20T3M 	W19MTC
15T15M	ULA20M
15T15M	ULL20M
15T15M	W19MTC
20T18M	ULA20M
20T18M	ULL20M
20T18M	W19MTC
15P17M	ULA20M
15P17M	ULL20M
15P17M	W19MTC
10T15 	ULA20 
10T15 	ULL20 
10T15 	W19GNC
20P3MH	ULA20M
20P3MH	ULL20M
20P3MH	W19MTC
30P3MH	ULA20M
30P3MH	ULL20M
30P3MH	W19MTC
15P3MH	ULA20M
15P3MH	ULL20M
15P3MH	W19MTC
15T18 	ULA20 
15T18 	ULL20 
15T18 	W19GNC
30P15 	ULA20 
30P15 	ULL20 
30P15 	W19GNC
20P11 	ULA20 
20P11 	ULL20 
20P11 	W19GNC
20P11H	ULA20 
20P11H	ULL20 
20P11H	W19GNC
10T13 	ULA20 
10T13 	ULL20 
10T13 	W19GNC
30T18M	ULA20M
30T18M	ULL20M
30T18M	W19MTC
30T11 	ULA20 
30T11 	ULL20 
30T11 	W19GNC
25P13 	ULA20 
25P13 	ULL20 
25P13 	W19GNC
20P13 	ULA20 
20P13 	ULL20 
20P13 	W19GNC
20P18 	ULA20 
20P18 	ULL20 
20P18 	W19GNC
25T17M	ULA20M
