ModalProfileTable	PaymentType	BillingFrequency	PremiumFactor	ModalPolicyFee	CollectionFee
24	**	A	1.0000000	.00	.00
24	**	M	12.0000000	.00	.00
24	**	Q	4.0000000	.00	.00
24	**	S	2.0000000	.00	.00
29	IN	M	.0792000	.00	3.00
29	**	A	.9000000	.00	.00
29	**	M	.0792000	.00	.00
29	**	Q	.2340000	.00	.00
29	**	S	.4680000	.00	.00
56	IN	M	.0920000	6.90	.00
56	**	A	1.0000000	75.00	.00
56	**	M	.0880000	6.60	.00
56	**	Q	.2600000	19.50	.00
56	**	S	.5200000	39.00	.00
58	IN	M	.0920000	3.45	.00
58	**	A	1.0000000	37.50	.00
58	**	M	.0880000	3.30	.00
58	**	Q	.2600000	9.75	.00
58	**	S	.5200000	19.50	.00
62	IN	M	.0920000	4.60	.00
62	**	A	1.0000000	50.00	.00
62	**	M	.0880000	4.40	.00
62	**	Q	.2600000	13.00	.00
62	**	S	.5200000	26.00	.00
