PremiumTable	IssueAge	MaxPolicyYear	Sex	RiskClass	PremiumBand	PremiumPer1000
WL19  	18	999	F	N	1	13.87
WL19  	18	999	F	P	1	12.48
WL19  	18	999	F	R	1	11.1
WL19  	18	999	F	S	1	18.06
WL19  	18	999	F	T	1	16.25
WL19  	18	999	F	U	1	14.45
WL19  	18	999	F	1	1	14.85
WL19  	18	999	F	2	1	15.81
WL19  	18	999	F	3	1	16.77
WL19  	18	999	F	4	1	17.72
WL19  	18	999	F	5	1	19.85
WL19  	18	999	F	6	1	22.27
WL19  	18	999	F	7	1	24.68
WL19  	18	999	F	8	1	27.09
WL19  	18	999	M	N	1	14.95
WL19  	18	999	M	P	1	13.46
WL19  	18	999	M	R	1	11.96
WL19  	18	999	M	S	1	19.69
WL19  	18	999	M	T	1	17.73
WL19  	18	999	M	U	1	15.76
WL19  	18	999	M	1	1	16.14
WL19  	18	999	M	2	1	17.41
WL19  	18	999	M	3	1	18.68
WL19  	18	999	M	4	1	19.95
WL19  	18	999	M	5	1	21.95
WL19  	18	999	M	6	1	25.76
WL19  	18	999	M	7	1	29.56
WL19  	18	999	M	8	1	33.37
WL19  	18	999	F	N	2	10.12
WL19  	18	999	F	P	2	9.11
WL19  	18	999	F	R	2	8.1
WL19  	18	999	F	S	2	13.66
WL19  	18	999	F	T	2	12.29
WL19  	18	999	F	U	2	10.93
WL19  	18	999	F	1	2	11.1
WL19  	18	999	F	2	2	12.06
WL19  	18	999	F	3	2	13.02
WL19  	18	999	F	4	2	13.97
WL19  	18	999	F	5	2	15.45
WL19  	18	999	F	6	2	17.87
WL19  	18	999	F	7	2	20.28
WL19  	18	999	F	8	2	22.69
WL19  	18	999	M	N	2	11.19
WL19  	18	999	M	P	2	10.07
WL19  	18	999	M	R	2	8.95
WL19  	18	999	M	S	2	15.28
WL19  	18	999	M	T	2	13.75
WL19  	18	999	M	U	2	12.22
WL19  	18	999	M	1	2	12.38
WL19  	18	999	M	2	2	13.65
WL19  	18	999	M	3	2	14.92
WL19  	18	999	M	4	2	16.19
WL19  	18	999	M	5	2	17.54
