PlanCode	PremiumTable	PremiumLookupDate	UnisexRates	ClassDistinctRates	PremiumLookupType	ModalProfileTable	CashValueTable	CashValueLookupType	UnisexCashValues	ClassDistinctCashValues	BandedCashValues	BandTable	COIDeductionType	COIBandTable	COIRateAccessMethod	CurrentCOITable	UnisexCurrentCOI	ClassDistinctCurrentCOI	GuaranteedCOITable	UnisexGuaranteedCOI	ClassDistinctGuaranteedCOI
25P17M	25T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T11 	15T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T17 	20T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T15 	30T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T3M 	30T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P11H	25T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T11 	25T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P15M	15T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P3M 	15T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P1M 	20T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T1MH	10T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T3M 	15T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P18M	25T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T17M	15T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P17M	20T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P17 	25T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T3M 	10T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P3M 	30T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T11H	30T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T15 	20T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T1M 	25T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T13 	15T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P18 	30T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P17 	30T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T18M	10T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P1MH	20T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T17M	10T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P13H	25T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T17 	25T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T17 	15T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T15 	25T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T1MH	20T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T17 	10T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T18 	20T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T3M 	20T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T15M	15T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T18M	20T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P17M	15T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T15 	10T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P3MH	20T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P3MH	30T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P3MH	15T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T18 	15T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30P15 	30T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P11 	20T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P11H	20T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T13 	10T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T18M	30T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T11 	30T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P13 	25T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P13 	20T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
ULL20M	LTL19M	Effective Date	Y	Y	Issue Age and Policy Year	24	      		 	 	 	LTUL19	Monthly	LTUL19	Issue Age and Policy Year	LTL19M	Y	Y	LTL19M	Y	Y
20P18 	20T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T17M	25T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T13H	10T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T1M 	30T11M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
W19MTC	WL19MT	Effective Date	Y	Y	Issue Age and Policy Year	29	WL19MT	Issue Age and Policy Year	Y	Y	N	WL19  	N/A	      		      	 	 	      	 	 
30P11H	30T11 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P1MH	15T11M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P11 	15T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T3M 	25T13M	Effective Date	Y	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P13 	15T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T15 	15T15 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
30T13 	30T13 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P17 	15T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T3MH	25T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
10T3MH	10T13M	Effective Date	Y	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P18 	25T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T15M	20T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20T11 	20T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15P13H	15T13 	Effective Date	N	Y	Issue Age and Policy Year	58	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
ULA20 	ACC19 	Effective Date	N	Y	Issue Age and Policy Year	24	      		 	 	 	UL2019	Monthly	UL2019	Issue Age and Policy Year	ACC19 	N	Y	LTUL19	N	Y
25P15M	25T15M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25P11 	25T11 	Effective Date	N	Y	Issue Age and Policy Year	56	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
20P17 	20T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
15T18M	15T17M	Effective Date	Y	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
25T18 	25T17 	Effective Date	N	Y	Issue Age and Policy Year	62	      		 	 	 	TERM11	N/A	      		      	 	 	      	 	 
